date,vehicle_category,maker,electric_vehicles_sold
4/1/2021,2-Wheelers,OLA ELECTRIC,0
4/1/2022,2-Wheelers,OKAYA EV,0
5/1/2021,2-Wheelers,OLA ELECTRIC,0
6/1/2021,2-Wheelers,OLA ELECTRIC,0
7/1/2021,2-Wheelers,OLA ELECTRIC,0
8/1/2021,2-Wheelers,OLA ELECTRIC,0
9/1/2021,2-Wheelers,OLA ELECTRIC,0
10/1/2021,2-Wheelers,OLA ELECTRIC,0
11/1/2021,2-Wheelers,OLA ELECTRIC,0
4/1/2021,4-Wheelers,BYD India,0
4/1/2021,4-Wheelers,PCA Automobiles,0
4/1/2021,4-Wheelers,BMW India,0
4/1/2021,4-Wheelers,Volvo Auto India,0
4/1/2021,4-Wheelers,KIA Motors,0
4/1/2022,4-Wheelers,PCA Automobiles,0
4/1/2022,4-Wheelers,Volvo Auto India,0
4/1/2022,4-Wheelers,KIA Motors,0
5/1/2021,4-Wheelers,BYD India,0
5/1/2021,4-Wheelers,PCA Automobiles,0
5/1/2021,4-Wheelers,BMW India,0
5/1/2021,4-Wheelers,Mercedes -Benz AG,0
5/1/2021,4-Wheelers,Volvo Auto India,0
5/1/2021,4-Wheelers,KIA Motors,0
5/1/2022,4-Wheelers,PCA Automobiles,0
5/1/2022,4-Wheelers,Volvo Auto India,0
5/1/2022,4-Wheelers,KIA Motors,0
6/1/2021,4-Wheelers,BYD India,0
6/1/2021,4-Wheelers,PCA Automobiles,0
6/1/2021,4-Wheelers,BMW India,0
6/1/2021,4-Wheelers,Volvo Auto India,0
6/1/2021,4-Wheelers,KIA Motors,0
6/1/2022,4-Wheelers,PCA Automobiles,0
6/1/2022,4-Wheelers,Volvo Auto India,0
6/1/2022,4-Wheelers,KIA Motors,0
7/1/2021,4-Wheelers,BYD India,0
7/1/2021,4-Wheelers,PCA Automobiles,0
7/1/2021,4-Wheelers,BMW India,0
7/1/2021,4-Wheelers,Volvo Auto India,0
7/1/2021,4-Wheelers,KIA Motors,0
7/1/2022,4-Wheelers,PCA Automobiles,0
7/1/2022,4-Wheelers,Volvo Auto India,0
7/1/2022,4-Wheelers,KIA Motors,0
8/1/2021,4-Wheelers,BYD India,0
8/1/2021,4-Wheelers,PCA Automobiles,0
8/1/2021,4-Wheelers,BMW India,0
8/1/2021,4-Wheelers,Volvo Auto India,0
8/1/2021,4-Wheelers,KIA Motors,0
8/1/2022,4-Wheelers,PCA Automobiles,0
8/1/2022,4-Wheelers,Volvo Auto India,0
8/1/2022,4-Wheelers,KIA Motors,0
9/1/2021,4-Wheelers,BYD India,0
9/1/2021,4-Wheelers,PCA Automobiles,0
9/1/2021,4-Wheelers,BMW India,0
9/1/2021,4-Wheelers,Volvo Auto India,0
9/1/2021,4-Wheelers,KIA Motors,0
9/1/2022,4-Wheelers,PCA Automobiles,0
9/1/2022,4-Wheelers,Volvo Auto India,0
9/1/2022,4-Wheelers,KIA Motors,0
10/1/2021,4-Wheelers,BYD India,0
10/1/2021,4-Wheelers,PCA Automobiles,0
10/1/2021,4-Wheelers,BMW India,0
10/1/2021,4-Wheelers,Volvo Auto India,0
10/1/2021,4-Wheelers,KIA Motors,0
10/1/2022,4-Wheelers,PCA Automobiles,0
10/1/2022,4-Wheelers,Volvo Auto India,0
11/1/2021,4-Wheelers,BYD India,0
11/1/2021,4-Wheelers,PCA Automobiles,0
11/1/2021,4-Wheelers,BMW India,0
11/1/2021,4-Wheelers,Volvo Auto India,0
11/1/2021,4-Wheelers,KIA Motors,0
11/1/2022,4-Wheelers,PCA Automobiles,0
12/1/2021,4-Wheelers,PCA Automobiles,0
12/1/2021,4-Wheelers,BMW India,0
12/1/2021,4-Wheelers,Volvo Auto India,0
12/1/2021,4-Wheelers,KIA Motors,0
12/1/2022,4-Wheelers,PCA Automobiles,0
1/1/2022,4-Wheelers,PCA Automobiles,0
1/1/2022,4-Wheelers,BMW India,0
1/1/2022,4-Wheelers,Volvo Auto India,0
1/1/2022,4-Wheelers,KIA Motors,0
1/1/2023,4-Wheelers,PCA Automobiles,0
2/1/2022,4-Wheelers,PCA Automobiles,0
2/1/2022,4-Wheelers,BMW India,0
2/1/2022,4-Wheelers,Volvo Auto India,0
2/1/2022,4-Wheelers,KIA Motors,0
2/1/2023,4-Wheelers,PCA Automobiles,0
3/1/2022,4-Wheelers,PCA Automobiles,0
3/1/2022,4-Wheelers,KIA Motors,0
4/1/2021,4-Wheelers,Tata Motors,322
4/1/2021,4-Wheelers,MG Motor,118
4/1/2021,4-Wheelers,Mahindra & Mahindra,171
4/1/2021,4-Wheelers,Hyundai Motor,12
4/1/2021,4-Wheelers,Mercedes -Benz AG,3
4/1/2022,4-Wheelers,Tata Motors,1409
4/1/2022,4-Wheelers,MG Motor,177
4/1/2022,4-Wheelers,Mahindra & Mahindra,611
4/1/2022,4-Wheelers,BYD India,15
4/1/2022,4-Wheelers,Hyundai Motor,17
4/1/2022,4-Wheelers,BMW India,12
4/1/2022,4-Wheelers,Mercedes -Benz AG,8
4/1/2023,4-Wheelers,Tata Motors,364
4/1/2023,4-Wheelers,MG Motor,265
4/1/2023,4-Wheelers,Mahindra & Mahindra,4880
4/1/2023,4-Wheelers,BYD India,156
4/1/2023,4-Wheelers,Hyundai Motor,42
4/1/2023,4-Wheelers,PCA Automobiles,181
4/1/2023,4-Wheelers,BMW India,51
4/1/2023,4-Wheelers,Mercedes -Benz AG,8
4/1/2023,4-Wheelers,Volvo Auto India,27
4/1/2023,4-Wheelers,KIA Motors,30
5/1/2021,4-Wheelers,Tata Motors,137
5/1/2021,4-Wheelers,MG Motor,39
5/1/2021,4-Wheelers,Mahindra & Mahindra,78
5/1/2021,4-Wheelers,Hyundai Motor,3
5/1/2022,4-Wheelers,Tata Motors,2097
5/1/2022,4-Wheelers,MG Motor,181
5/1/2022,4-Wheelers,Mahindra & Mahindra,622
5/1/2022,4-Wheelers,BYD India,30
5/1/2022,4-Wheelers,Hyundai Motor,19
5/1/2022,4-Wheelers,BMW India,6
5/1/2022,4-Wheelers,Mercedes -Benz AG,4
5/1/2023,4-Wheelers,Tata Motors,3212
5/1/2023,4-Wheelers,MG Motor,351
5/1/2023,4-Wheelers,Mahindra & Mahindra,3457
5/1/2023,4-Wheelers,BYD India,110
5/1/2023,4-Wheelers,Hyundai Motor,129
5/1/2023,4-Wheelers,PCA Automobiles,245
5/1/2023,4-Wheelers,BMW India,57
